"filename", "language", "Go", "comment", "blank", "total"
"/home/crystal9210/test_webapp/token/jwt_maker.go", "Go", -75, 0, -15, -90
"/home/crystal9210/test_webapp/token/jwt_maker_test.go", "Go", -54, 0, -16, -70
"/home/crystal9210/test_webapp/token/maker.go", "Go", -12, 0, -4, -16
"/home/crystal9210/test_webapp/token/paseto_maker.go", "Go", -50, 0, -13, -63
"/home/crystal9210/test_webapp/token/payload.go", "Go", -41, 0, -8, -49
"/home/crystal9210/test_webapp/util/config.go", "Go", 34, 0, 8, 42
"/home/crystal9210/test_webapp/util/currency.go", "Go", 15, 0, 3, 18
"/home/crystal9210/test_webapp/util/password.go", "Go", 17, 0, 5, 22
"/home/crystal9210/test_webapp/util/password_test.go", "Go", 21, 0, 8, 29
"/home/crystal9210/test_webapp/util/random.go", "Go", 43, 0, 12, 55
"/home/crystal9210/test_webapp/util/role.go", "Go", 5, 0, 2, 7
"Total", "-", -97, 0, -18, -115